Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
APEPExd,19,76754,0,0,12,0,39290,1,40,59,0,0,80490,0,61.3388,12.6721,6.74272
APG4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
APPLE_CombatAI_7,35,121486,178,0,499,0,96370,0,147,112,0,0,266370,1,84.3341,21.9958,26.2436
AakashRT,0,22002,0,0,0,0,0,0,0,0,0,0,-4.13234e+06,2,27.928,0,0
AbbeYao,17,61609,50,0,286,0,70300,0,49,99,0,0,92040,2,56.3506,20.0197,27.019
Abraham497,28,75332,7,0,45,1,85670,99,13,113,0,0,0,2,70.076,9,14.4369
Acid-Cyanide,0,7418,0,0,0,0,0,0,0,0,0,0,-29500,1,19.4449,0,0
Adanmarsan,54,54571,0,0,157,0,32850,0,5,5,0,0,-50835,2,91.7927,0,6.96565
AddictedSamurai,0,124202,0,0,0,0,0,0,0,0,0,0,0,2,49.6987,0,0
AdrenalineTX,0,25831,0,0,0,0,0,0,0,0,0,0,0,1,29.4607,0,0
AggressiveFoxTV,0,92666,2,0,38,0,2920,0,6,2,0,0,9000,2,45.0801,0,0
Akira72,3,3847,0,0,0,0,860,0,3,3,0,0,18650,1,18.6259,4.71121,4.11236
AlbaniaNimmortaL,68,30653,135,0,308,1,36097,0,2,1,0,0,-1.14758e+06,2,99.1886,0,10.7981
Aldrian77_FR,34,252844,1,0,299,0,68300,0,76,44,0,0,182985,2,96.9724,12.663,14.6941
AllDunner,3,192818,0,0,0,0,1650,0,1,1,0,0,-108105,1,60.5379,0,4.84273
AlphaWolfXXY,15,52969,113,0,627,0,55600,0,55,53,0,0,10070,2,52.4196,14.4097,56.8024
Amujohns,42,251929,24,0,224,2,157840,0,81,84,0,0,-4.62718e+06,2,104.896,0,12.8296
AnaHajarajanaan,28,35824,237,5,810,0,154470,0,55,90,0,0,-62270,2,60.8503,0,45.618
Androga1,103,114281,224,0,850,3,335770,1,446,560,0,0,960180,2,151.34,45.1394,17.5556
AndyG_BE,0,8912,0,0,0,0,0,0,0,0,0,0,-2.21895e+06,2,20.6701,0,0
AngryM13,21,87893,64,0,221,0,80320,0,50,55,1,2,54790,2,65.2932,11.883,20.8637
AngryPengui,18,53662,0,0,197,0,41600,0,52,61,0,0,51300,2,55.5819,13.7738,16.9335
AoAoZero,0,21069,0,0,0,0,0,0,0,0,0,0,-6.70486e+06,3,27.5279,0,0
ArchieGoodwin45,29,103112,31,0,62,0,42850,0,77,109,0,0,34070,2,75.7124,13.2242,9.19934
ArteBionico,549,347433,283,0,799,10,507770,84,69,42,0,0,91700,2,619.002,3.00951,6.51338
Artein,12,28874,0,0,663,0,74550,0,56,47,0,0,56100,2,42.5738,18.9239,63.8778
AscarX09,46,69553,105,0,188,0,154900,0,117,250,0,0,204030,2,86.9724,21.2581,13.6175
Atlasbzh,0,0,0,0,0,0,0,0,0,0,0,0,-97670,2,0,0,0
Auge_v2142,0,6056,0,0,0,0,0,0,0,0,0,0,-3.8846e+06,2,18.1747,0,0
B0otyMain,32,64331,9,0,44,0,68170,0,127,191,0,0,241600,2,71.9212,26.3094,7.79352
B1C4A12,29,109931,176,0,552,0,81700,0,188,116,0,0,349480,2,76.7192,30.2674,32.2853
BAL_N3M3SIS,37,76166,68,0,143,0,123090,0,66,87,1,3,127535,2,79.2305,12.0681,12.5942
BBBBBBBBBBUTTERS,1,137342,0,0,6,0,960,0,1,2,0,0,1570,3,52.3912,6.08001,11.5663
BIGHOTTODOGU,21,163844,150,0,884,0,69470,0,46,93,0,0,-9950,2,75.5011,0,56.5839
BL00D_H4WK,0,3796,0,0,0,0,0,0,0,0,0,0,-160005,2,15.5566,0,0
BM_Stammtisch,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BOJIKODAB_61rus,2,138857,0,0,0,0,2590,0,2,0,0,0,-19315,2,53.5793,0,5.99884
BR-Spike,100,165778,66,14,392,0,271060,0,264,368,0,0,794610,0,154.715,33.9334,11.2151
BaCbKa_4anAeB,0,2525,0,0,0,0,0,0,0,0,0,0,-4.57242e+06,2,13.5817,0,0
BananaKalli,73,142409,150,0,462,2,193070,0,139,197,1,1,208580,2,125.015,15.3861,15.1708
