Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
Masamune_1630,1018,911589,1242,180,9468,25,2575100,6,4497,2072,0,0,6.99195e+06,3
Mastico8,1217,1242432,390,29,10185,1,1945100,4,4126,1712,32,15,5.12864e+06,2
Mat-Mechanicus,1299,922237,1982,129,9874,5,1692210,3,1898,2662,64,31,1.33125e+06,2
MaticDelak,1009,1145334,2178,70,14055,3,1690880,3,4489,2675,16,4,5.98085e+06,2
Matsuptsu,508,535204,1618,76,6078,5,1346790,2,1694,2559,36,4,2.95167e+06,2
Max6091,722,853093,2448,171,12075,9,1973410,4,2134,4439,17,9,2.44535e+06,1
MaxP_222,901,774617,3941,45,13497,3,1963820,4,3272,2705,41,11,2.65545e+06,2
May_OneByOne,1167,986774,460,65,4471,9,1179240,2,805,1984,0,0,2.64452e+06,3
Mazzi555,1345,1324060,1968,235,10935,14,2460140,5,4627,2979,1,0,5.59667e+06,2
McNashy,945,944509,1911,343,9869,8,1822290,3,2495,3298,2,6,3.93559e+06,2
MeGustaaa,953,1024655,1356,4,10044,2,1786340,3,2636,4857,0,0,4.62862e+06,0
MeatCream,1017,772219,4399,302,28970,5,3281070,5,180,418,434,254,821580,2
Meista_Eda02,712,869734,1910,96,9069,4,2141450,4,2783,2682,6,5,5.00866e+06,2
Meleven84,880,931210,2327,85,7773,4,1467870,3,2560,3261,1,7,4.20377e+06,2
Member13,865,942096,2324,406,10401,11,2339440,5,2219,3021,22,8,2.67624e+06,2
Mitque,1119,932883,2029,53,4671,2,1862540,3,1970,3373,85,28,1.53976e+06,2
MoJoPokeyBlue,2405,1361878,1,1,0,11,3117260,7,8650,5533,8,0,2.70628e+06,1
MrBIock,685,715772,2602,57,5033,2,1813010,3,3170,1979,12,3,3.53949e+06,2
MrBoomBaam,720,630922,1242,194,8650,4,1304540,2,1649,2948,35,18,744505,2
MrGanja4u2,1758,1860949,2124,9,11380,5,2315120,6,4415,3452,0,0,6.47411e+06,2
Mr_Humiliation,1483,1080827,327,0,758,494,1221400,1,729,1203,108,46,620630,2
MsDanio2000,1504,1710736,27,19,191,5,1341220,4,1826,4357,0,0,4.07176e+06,2
Mustafa_Alnoori,1370,1639725,1399,381,9268,3,1894820,4,2216,3952,6,4,3.67552e+06,2
MyLittlePony665,1249,1111133,2389,186,12710,20,2844190,6,4666,2359,60,23,3.26428e+06,2
Mythicalix,998,884079,1759,52,7696,7,1978100,4,2742,2576,3,3,4.16578e+06,2
NEVSLAVE,901,1019065,3410,1450,13605,6,1943070,3,1604,3272,1,0,3.82906e+06,1
Nen1x,571,743753,883,76,3181,6,1496910,3,3292,3313,1,2,4.66869e+06,2
Neviathon,1662,1613135,6149,247,27460,8,3532420,7,3764,2583,35,7,3.48197e+06,2
Newfie_Bys,1267,1294385,2492,52,9724,8,2389130,5,2916,2734,38,13,4.38449e+06,2
NinjaKrieger,863,1290161,148,46,2749,3,1416980,3,1873,3231,0,0,4.39823e+06,0
Ninthseason,1280,1468073,1414,547,7808,4,2097620,7,5550,3818,2,0,6.48307e+06,3
Njaziqu,810,626868,1184,47,11314,3,2578780,5,731,1308,831,119,1.04041e+06,2
Njkjta,1156,1008599,1959,8,10161,5,2487800,5,3250,2726,13,3,5.18443e+06,0
