Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
FEARush-BLiZZaRD,1101,1106862,1098,78,3456,3,1973650,3,1848,2919,23,13,4.19529e+06,2,1084230,22632,1081,20,48.1918,11.5824,26.2224
FFI_Oneal,771,1116844,1705,278,16138,9,1727520,3,3173,3664,72,10,3.49143e+06,2,1097990,18854,763,8,34.5283,17,19.0751
Fantasy-MG,1017,656788,2128,21,7806,2,1593440,2,3064,2766,0,0,718150,2,656788,0,1017,0,0,0,0
FarewelI,844,848144,301,137,4337,3,2013820,5,2890,2840,26,12,4.95056e+06,1,848144,0,844,0,0,0,0
Fatedxin,1005,1120012,1352,90,4911,12,1457540,3,2479,2192,1,0,4.12604e+06,1,1099546,20466,988,17,44.263,12.3181,14.5018
Firespawn84,731,833014,1013,101,7170,2,1280590,2,1646,2061,1,8,1.36515e+06,2,833014,0,731,0,0,0,0
FlexerJR,949,826003,686,10,1173,4,2190920,5,4005,2696,49,19,4.04742e+06,2,811959,14044,926,23,47.05,11.8051,6.9063
Floatinify,679,739754,1848,107,10112,6,1336910,2,2191,3533,1,1,3.87344e+06,1,739754,0,679,0,0,0,0
Floooweiz2,1438,1722977,56,19,225,4,1816070,5,4654,2818,0,0,7.7383e+06,2,1722977,0,1438,0,0,0,0
Foxdie911,795,883351,905,135,4398,4,1620480,4,2956,4917,12,3,3.9017e+06,2,883351,0,795,0,0,0,0
Foxxhound_87,857,718618,1636,120,7125,5,1565120,2,2075,1933,12,7,3.69888e+06,2,718247,371,856,1,8.17136,0,4.38582
Frakes95,1038,1075807,5006,100,11232,5,2569140,6,3985,3058,15,6,5.65451e+06,2,1075807,0,1038,0,0,0,0
FuRioN_VoXmaN,1594,1264271,405,26,1009,2,2569960,7,3838,2323,342,148,5.01617e+06,3,1264271,0,1594,0,0,0,0
Fuego-Rey,998,1093377,941,354,7234,3,1629720,3,2717,3647,3,2,4.93592e+06,1,1088713,4664,994,4,20.6608,23.9331,8.23883
GDSpink,1113,993883,851,51,2260,2,2036370,7,6060,5669,5,6,6.50127e+06,2,993883,0,1112,1,1,22.4962,4.90746
GOLDSUNN,974,1154256,395,179,2500,41,1678070,4,3813,2981,0,1,4.26635e+06,3,1154256,0,974,0,0,0,0
GROMRP,836,1022530,1315,85,6316,5,1776940,4,5043,2404,6,4,6.81972e+06,2,1022530,0,836,0,0,0,0
Garliqe,1356,1226236,786,12,3205,10,2121530,5,4302,3191,0,2,4.94049e+06,2,1226236,0,1356,0,0,0,0
GeforceRx480,1257,1365263,187,117,2799,1,1279260,3,2035,2910,4,0,3.83987e+06,3,1365263,0,1257,0,0,0,0
GehtAbAlder,871,899495,2197,115,14698,4,1526060,3,1397,2546,36,5,1.08438e+06,2,893367,6128,864,7,25.2464,9.0589,30.1138
Geirilius,797,908022,1753,103,12324,3,1618740,3,2211,2942,12,0,4.13013e+06,2,908022,0,797,0,0,0,0
German-Strike,1369,1119712,962,71,6383,11,2071850,4,3634,1636,2,0,5.86704e+06,2,1119712,0,1369,0,0,0,0
GloryPlay,571,691977,2097,1,12427,44,2152060,3,2992,3107,0,0,4.97882e+06,2,688923,3054,568,3,17.4698,8.76921,7.90405
Goulashn1kov,961,1115846,1141,108,5409,5,2064620,5,3512,4078,17,5,4.12088e+06,2,1108329,7517,955,6,25.5309,22.475,24.2857
Gozli,515,730111,1779,67,7673,3,1599540,3,1705,2307,4,0,2.77662e+06,2,723497,6614,513,2,20.7161,22,19.5223
GrandMasterGuess,1136,1345102,848,95,4623,10,2525780,8,4050,5665,0,0,6.03166e+06,1,1345102,0,1136,0,0,0,0
GrayskullCube,1123,1185742,1738,87,9096,3,2236960,5,1494,3143,52,21,1.36995e+06,2,1185742,0,1123,0,0,0,0
Grisu0302,1129,1367928,1565,108,6899,3,2188500,6,2535,1897,3,6,526090,2,1367928,0,1129,0,0,0,0
Gsundi_Aut,1430,1149983,2686,234,14563,12,3484030,8,5541,3323,77,13,4.63278e+06,2,1149983,0,1430,0,0,0,0
Gunridden,641,651956,1308,52,4795,4,1575260,3,2825,2822,2,0,3.03767e+06,1,651956,0,641,0,0,0,0
Gwar04,1189,1109770,1624,259,5926,3,1941130,4,1937,2385,16,2,3.85536e+06,2,1093998,15772,1172,17,41.9975,8.89823,8.79113
H445E,1401,1694408,677,134,6220,14,1676020,4,3371,2714,0,0,5.4355e+06,2,1694408,0,1401,0,0,0,0
H4i-Fish,1552,1411502,3243,226,21641,26,3216450,6,5330,4758,0,0,8.21594e+06,2,1402764,8738,1537,15,35.5348,16.1389,16.9469
HAMMER_H2_SUT,1089,1101794,2935,952,15591,52,2875770,4,2955,2211,4,2,5.50841e+06,3,1101794,0,1089,0,0,0,0
HGS18_Flash,1336,1651853,1572,252,12188,6,2427300,6,3515,3370,11,1,5.59464e+06,2,1651853,0,1336,0,0,0,0
HImeNaa,1351,1606827,3301,1115,21954,10,2508100,6,1771,2158,15,9,1.61598e+06,3,1606827,0,1351,0,0,0,0
HUDISH1923,482,440373,267,80,1840,1,1324860,2,1545,2069,9,0,2.86235e+06,2,440373,0,482,0,0,0,0
Halenio,979,966007,1599,794,9156,16,2656220,5,3150,1393,2,0,6.28083e+06,1,934277,31730,945,34,65.5493,15.3837,17.1256
HardMacK,999,945591,1815,279,6109,10,2016670,3,2057,3219,22,6,2.923e+06,1,945591,0,999,0,0,0,0
HearMeR0aR,1034,1508842,11425,19,27178,829,2410550,5,6082,5792,0,0,8.18822e+06,2,1508842,0,1034,0,0,0,0
HeiligeHeinrich,885,1103198,2826,173,10856,5,1749840,3,2423,3094,29,21,4.22675e+06,2,1103198,0,885,0,0,0,0
Hoowuth,850,851558,3157,251,13276,3,2282600,5,2916,2616,12,3,3.22654e+06,2,851558,0,850,0,0,0,0
HsTJeges,709,859145,717,72,2770,3,1973910,5,2932,3144,115,30,318670,2,859145,0,709,0,0,0,0
HugeAssman,1235,1513853,3067,130,9909,8,2241970,5,3796,3598,21,9,6.33886e+06,2,1486715,27138,1202,33,62.9489,17.7738,15.7565
HumpelHelge,704,820382,2426,95,5392,5,2397750,5,3438,2175,10,2,5.44391e+06,2,820382,0,704,0,0,0,0
I-MazoR-I,967,957657,707,424,2942,7,1741100,5,3020,4160,0,0,4.24839e+06,1,957657,0,967,0,0,0,0
IIpOII,975,1116714,1741,132,11024,5,1929360,5,2856,3381,2,1,3.61474e+06,2,1112486,4228,971,4,20.1251,11,16.5081
IIxShahinxII,1006,763494,240,17,1408,146,1581050,2,1312,1758,240,49,1.91741e+06,2,763145,349,1005,1,8.02685,8,5.99304
IMrMaestroX,435,557866,873,20,1493,1,994843,2,1553,3025,1,0,57855,2,557866,0,435,0,0,0,0
IPhysiXI,525,659679,2004,68,7373,6,1985780,4,2248,3234,2,1,1.94942e+06,2,659679,0,525,0,0,0,0
IRazer1990,1062,1155144,1871,151,4019,4,1576260,3,1973,2699,16,12,1.2028e+06,2,1154692,452,1061,1,8.65881,0,3.7606
I_VIRUSVETER_I,2000,2281968,276,25,1534,7,2689120,10,6053,6409,0,0,7.24822e+06,2,2281968,0,2000,0,0,0,0
Icarus8800,1299,1313705,1568,64,8180,3,1785260,4,1707,2628,7,1,3.56427e+06,3,1313705,0,1299,0,0,0,0
Igenx,1219,1367112,737,298,2728,3,1513040,4,3558,2735,7,2,5.66693e+06,2,1367112,0,1219,0,0,0,0
IllNoiselessllI,609,844727,1359,130,4215,2,1313230,3,2412,3340,6,3,2.36247e+06,2,844727,0,609,0,0,0,0
IneedSmokeWeed,1114,1443476,1771,5,10120,6,2057100,4,1867,4187,2,1,2.24688e+06,2,1441983,1493,1114,0,11.4015,0,0
Intrusionist7,773,491995,2407,65,7070,2,1768820,3,3103,2296,31,9,2.49444e+06,2,491995,0,773,0,0,0,0
