Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
CloudTiger88,2381,1056376,56,0,443,1,635508,25,49,24,0,0,11485,2,1056376,0,2381,0,0,0,0
Cloud_n_em,1109,1308076,909,238,14971,2,1608680,4,3149,3159,1,0,5.65094e+06,3,1308076,0,1109,0,0,0,0
Coconutmonkey13,1551,1673105,2138,373,11505,7,1930860,4,2682,3740,13,10,4.70582e+06,1,1673105,0,1551,0,0,0,0
ColMooncheeze,693,843892,2566,33,8968,8,1836560,4,3784,5010,9,5,5.72513e+06,1,843892,0,693,0,0,0,0
ComeTooBesiktass,1035,1004259,99,57,2394,7,1705460,3,2502,2320,10,11,2.02746e+06,2,1002470,1789,1034,1,13.1093,40,9.49852
CoolP1ggy,775,708964,3133,246,18287,5,2014650,3,1893,2077,43,22,2.40636e+06,1,708964,0,775,0,0,0,0
CornedBeefQueef,732,722788,2155,138,12170,3,1270040,2,2288,2891,1,2,1.75062e+06,2,722788,0,732,0,0,0,0
CosmeticOrange,687,687955,1317,6,5494,3,1581280,3,1541,2445,16,5,2.14733e+06,1,687955,0,687,0,0,0,0
CosmicDusk,529,475609,750,21,1994,1,801514,1,1363,1961,2,0,2.62978e+06,3,475609,0,529,0,0,0,0
CptButterCake,851,710273,1847,57,8000,6,1508940,2,1835,3405,68,22,1.37477e+06,2,710273,0,851,0,0,0,0
Crazy_horse101th,1289,1142419,1568,238,14225,14,2415740,4,3081,1975,19,12,2.35396e+06,2,1135298,7121,1283,6,25.1821,8,7.82699
Cre4tor11,770,781243,382,127,2298,2,962943,2,1200,2209,9,7,2.25227e+06,2,781243,0,770,0,0,0,0
Crimson_Ghost,830,1014667,1036,73,8031,14,1574860,3,2393,6123,0,0,3.65223e+06,1,1014667,0,830,0,0,0,0
Crispy_RH,1713,1682843,1373,616,5998,5,1949300,4,2622,3790,9,6,5.05904e+06,3,1682843,0,1713,0,0,0,0
Crunkendrunk,1253,1163587,2037,156,5770,4,2155980,5,3975,2641,13,5,5.52566e+06,1,1163587,0,1253,0,0,0,0
CycoSandwich,1043,1001709,3265,150,7868,6,1909290,4,4241,3192,28,9,6.11623e+06,2,1001709,0,1043,0,0,0,0
Cypha730,1114,1014099,4393,57,12288,1,2361670,5,2536,3654,25,6,2.48744e+06,1,1014099,0,1114,0,0,0,0
D1ckFromMountain,1285,1487122,564,78,2686,3,1130140,3,2110,3625,0,0,3.81998e+06,2,1481562,5560,1281,4,21.6648,6.59545,5.94246
D3ADduck,1373,1637577,599,393,7299,35,2731240,5,4068,2214,3,8,5.79494e+06,1,1637577,0,1373,0,0,0,0
DJX995,889,1031824,2005,148,19025,11,2435240,4,1678,2897,2,2,461240,1,1031824,0,889,0,0,0,0
DOGO_747,1600,1596151,129,31,849,8,332406,747,2331,3007,14,9,3.67436e+06,2,1594741,1410,1599,1,12.1864,12.2529,4.47214
