Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
mitsubachi0308,173,146333,243,3,1316,1,256001,682,428,221,0,0,568450,3
mmmmmmbeer7777,418,388286,198,114,5729,1,580364,1,769,400,8,0,1.01891e+06,1
moaoka,177,149870,80,415,152,8,184266,149,233,173,0,0,421260,3
mokeitup,417,513549,49,129,295,5,513021,1,894,689,0,0,1.16044e+06,3
molon_labe_noob,241,282850,818,0,2188,113,346100,952,933,1119,0,0,1.11532e+06,1
monstraaaa,138,131219,65,24,562,785,123822,269,214,364,2,2,346415,2
moralfallacy,169,178006,268,0,1281,593,278190,553,494,363,0,0,741615,1
morphine1983,150,235908,234,0,1312,2,304747,648,206,262,0,0,170275,2
mottqc,285,229548,323,0,546,123,300451,661,314,628,1,0,489818,1
mrdrewz_1,288,324663,285,0,946,414,342958,1,368,705,3,1,412375,2
mulluk01,539,315289,1123,40,9169,1,548934,376,504,140,0,0,664103,2
murdrrdbypirates,431,302593,187,0,1267,393,517640,1,850,516,3,0,496940,2
myhanzo_6,223,249119,258,0,1610,722,197914,486,290,370,0,0,527775,3
nah190,188,204954,58,16,399,208,284525,700,433,476,0,0,681045,1
nahlbom,223,279470,346,3,2711,1,392981,1,565,850,3,1,675360,2
namso88,227,210697,0,0,27,77,278092,523,81,351,0,0,174885,2
napoleon51011,163,158454,63,45,379,529,244696,561,339,350,0,0,405385,2
nascar241993,142,156539,84,175,670,5,263714,511,259,371,0,2,332955,1
natknud,211,152210,156,0,692,926,199893,289,276,251,2,0,330565,1
necro_lolz,111,127213,80,0,596,212,119935,255,208,398,7,4,471400,2
nelcu,187,181306,478,41,1804,113,217046,410,432,225,0,0,649775,2
nex-nexon,192,212688,55,0,154,27,262760,729,508,539,0,0,623689,2
nikolass365,275,217613,51,0,0,35,6495,6,264,261,0,0,409345,2
nikolayraz,432,295941,574,42,1489,340,481731,1,663,589,5,3,1.15644e+06,2
nishi1400,260,273041,102,53,341,203,326013,891,509,390,0,0,843650,3
niwaf1ee,389,323771,577,25,3916,994,375424,1,804,466,6,1,932025,3
nohle2011,738,863433,144,0,10,296,1121520,2,1896,889,0,0,2.82635e+06,2
nopeuare,311,304497,0,4,1,114,29450,18,206,2213,0,0,380980,1
nosorozec991,76,62841,154,0,805,349,221554,369,526,383,0,0,100840,2
npend,302,197472,863,46,2239,224,402190,705,619,370,0,0,1.26942e+06,1
