Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
D1ckFromMountain,1299,1498782,575,78,2703,3,1140510,3,2126,3654,0,0,3.85493e+06,2,1498782,0,1299,0,0,0,0
DJX995,902,1043414,2113,148,19738,11,2478540,4,1730,2925,2,2,530140,1,1039899,3515,897,5,20.1633,13.0765,47.1735
DOGO_747,1607,1604231,129,31,849,8,332506,747,2342,3026,14,9,3.6908e+06,2,1600041,4190,1603,4,20.0767,5.30062,0
DYTV-2040553,897,785415,1774,211,7355,22,3149350,6,1183,4753,2,2,1.8367e+06,3,777571,7844,892,5,24.8098,31.1649,214.231
Dan-Celentano,1089,938947,2584,406,16700,11,2333790,4,1657,2059,112,59,2.89961e+06,2,930126,8821,1080,9,29.5995,9.26054,23.4755
DazpolzZ,843,764144,1745,103,4245,3,2086250,4,2881,2029,112,40,4.69916e+06,2,764144,0,843,0,0,0,0
DefilarTheGreat,1797,1347342,3030,208,6942,8,2132530,4,2158,2741,49,22,3.50171e+06,1,1341032,6310,1787,10,28.4251,6.86316,18.5441
DerMettwurstmann,1132,1335021,1575,201,6625,2,1451240,4,2246,3094,0,0,3.7447e+06,2,1335021,0,1132,0,0,0,0
DigUrGraveNow,1204,1575470,293,46,2257,10,1811430,5,3388,5485,0,0,4.84114e+06,1,1575470,0,1204,0,0,0,0
Diggo68,2854,1988299,881,148,13125,9,3384900,8,4916,2250,82,56,4.0562e+06,1,1988299,0,2854,0,0,0,0
Doctor_PHNX,1482,1508655,1997,60,12171,9,2171340,5,2980,1871,16,4,3.2801e+06,2,1492296,16359,1456,26,51.3035,7.09785,25.5378
Domantalie,1074,794952,2441,37,10579,2,2598170,7,4910,3647,29,2,4.61077e+06,2,794952,0,1074,0,0,0,0
Don-Domingo01,1030,1119274,1784,244,4689,4,1953790,4,3008,4761,82,46,3.05327e+06,2,1105703,13571,1015,15,38.7771,26.6835,7.21643
DonDeni,714,887574,1061,0,2528,2,1556160,4,3018,4129,4,1,3.96323e+06,2,887574,0,714,0,0,0,0
