Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
FlexerJR,949,826003,686,10,1173,4,2190920,5,4005,2696,49,19,4.04742e+06,2,811959,14044,926,23,47.05,11.8051,6.9063
Floatinify,679,739754,1848,107,10112,6,1336910,2,2191,3533,1,1,3.87344e+06,1,739754,0,679,0,0,0,0
Flobbiefloo,751,966027,4074,76,13366,8,2482200,5,2916,2616,33,6,1.49689e+06,2,966027,0,751,0,0,0,0
Floooweiz2,1438,1722977,56,19,225,4,1816070,5,4654,2818,0,0,7.7383e+06,2,1722977,0,1438,0,0,0,0
Foxdie911,795,883351,905,135,4398,4,1620480,4,2956,4917,12,3,3.9017e+06,2,883351,0,795,0,0,0,0
Foxxhound_87,857,718618,1636,120,7125,5,1565120,2,2075,1933,12,7,3.69888e+06,2,718247,371,856,1,8.17136,0,4.38582
Frakes95,1038,1075807,5006,100,11232,5,2569140,6,3985,3058,15,6,5.65451e+06,2,1075807,0,1038,0,0,0,0
FuRioN_VoXmaN,1594,1264271,405,26,1009,2,2569960,7,3838,2323,342,148,5.01617e+06,3,1264271,0,1594,0,0,0,0
Fuego-Rey,998,1093377,941,354,7234,3,1629720,3,2717,3647,3,2,4.93592e+06,1,1088713,4664,994,4,20.6608,23.9331,8.23883
FurAndFeather,1418,1591118,2345,327,20432,10,1499560,4,1977,3101,1,0,5.64974e+06,3,1586008,5110,1413,5,22.1753,5.59615,6.43994
GDSpink,1113,993883,851,51,2260,2,2036370,7,6060,5669,5,6,6.50127e+06,2,993883,0,1112,1,1,22.4962,4.90746
GERIYAROUU,872,1047422,964,1,1309,490,1278980,3,2238,4180,0,0,3.29826e+06,3,1047422,0,872,0,0,0,0
GOLDSUNN,974,1154256,395,179,2500,41,1678070,4,3813,2981,0,1,4.26635e+06,3,1154256,0,974,0,0,0,0
GROMRP,836,1022530,1315,85,6316,5,1776940,4,5043,2404,6,4,6.81972e+06,2,1022530,0,836,0,0,0,0
Garliqe,1356,1226236,786,12,3205,10,2121530,5,4302,3191,0,2,4.94049e+06,2,1226236,0,1356,0,0,0,0
GeforceRx480,1257,1365263,187,117,2799,1,1279260,3,2035,2910,4,0,3.83987e+06,3,1365263,0,1257,0,0,0,0
GehtAbAlder,871,899495,2197,115,14698,4,1526060,3,1397,2546,36,5,1.08438e+06,2,893367,6128,864,7,25.2464,9.0589,30.1138
Geirilius,797,908022,1753,103,12324,3,1618740,3,2211,2942,12,0,4.13013e+06,2,908022,0,797,0,0,0,0
German-Strike,1369,1119712,962,71,6383,11,2071850,4,3634,1636,2,0,5.86704e+06,2,1119712,0,1369,0,0,0,0
GfA-CrackHead,645,542248,1697,857,7673,8,1939560,3,1402,1652,168,53,2.60148e+06,2,540991,1257,644,1,11.7666,24.2663,19.3146
Glextor,785,1254840,2669,98,9983,9,1657480,4,4628,3785,6,0,6.47521e+06,2,1253860,980,785,0,9.91011,0,0
GloryPlay,571,691977,2097,1,12427,44,2152060,3,2992,3107,0,0,4.97882e+06,2,688923,3054,568,3,17.4698,8.76921,7.90405
Goulashn1kov,961,1115846,1141,108,5409,5,2064620,5,3512,4078,17,5,4.12088e+06,2,1108329,7517,955,6,25.5309,22.475,24.2857
Gozli,515,730111,1779,67,7673,3,1599540,3,1705,2307,4,0,2.77662e+06,2,723497,6614,513,2,20.7161,22,19.5223
GrandMasterGuess,1136,1345102,848,95,4623,10,2525780,8,4050,5665,0,0,6.03166e+06,1,1345102,0,1136,0,0,0,0
GrayskullCube,1123,1185742,1738,87,9096,3,2236960,5,1494,3143,52,21,1.36995e+06,2,1185742,0,1123,0,0,0,0
Grisu0302,1129,1367928,1565,108,6899,3,2188500,6,2535,1897,3,6,526090,2,1367928,0,1129,0,0,0,0
Gsundi_Aut,1430,1149983,2686,234,14563,12,3484030,8,5541,3323,77,13,4.63278e+06,2,1149983,0,1430,0,0,0,0
Gunridden,641,651956,1308,52,4795,4,1575260,3,2825,2822,2,0,3.03767e+06,1,651956,0,641,0,0,0,0
Gwar04,1189,1109770,1624,259,5926,3,1941130,4,1937,2385,16,2,3.85536e+06,2,1093998,15772,1172,17,41.9975,8.89823,8.79113
H445E,1401,1694408,677,134,6220,14,1676020,4,3371,2714,0,0,5.4355e+06,2,1694408,0,1401,0,0,0,0
H4i-Fish,1552,1411502,3243,226,21641,26,3216450,6,5330,4758,0,0,8.21594e+06,2,1402764,8738,1537,15,35.5348,16.1389,16.9469
