Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
ElectricNudli,23,25909,63,1,442,0,87550,0,96,73,0,0,-4.95528e+06,2,52.4903,0,29.8545
EnPowed,27,42452,54,0,300,0,88030,1,111,179,0,0,220780,2,61.7608,27.7284,20.5562
Enmoore,15,15214,31,0,181,0,44120,0,29,40,2,1,7625,2,39.6994,9.31987,21.3642
EntertheDragon91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Epilektos_85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EraseMe_99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ernestinho05,0,1175,0,0,0,0,780,0,1,1,0,0,2020,2,10.5274,0,0
Erotikhamster,7,6849,31,0,156,0,24100,0,19,20,0,0,33140,2,25.9349,12.194,33.6595
Ethan1705,47,52532,12,8,69,0,94950,0,131,85,0,0,80,2,84.3165,9.00685,7.70406
Ethicker,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EvilCorp_Z,1,1502,0,0,0,0,5660,0,2,4,0,0,16950,2,12.4243,12.6527,8.67369
Evo90-nightmare,25,29544,9,0,176,0,43850,0,55,91,0,0,10190,2,55.8082,11.414,13.4715
Eye-gorious,2,1787,0,0,0,0,3820,0,2,4,0,0,3130,2,14.1048,6.14583,6.61087
F1yingbadger,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FH_Frontman,54,61038,108,0,412,1,120930,1,108,107,0,0,289030,2,93.2288,15.6197,15.8788
FR-Alx13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FTLeonUA,6,7536,11,0,59,1,28490,0,6,38,0,0,0,2,25.5474,14,19.3009
Falciare,16,11025,4,0,7,0,11150,0,31,49,0,0,-688995,2,38.1877,0,5.13632
Farendor,12,9987,0,0,0,1,6530,0,13,12,0,0,23600,2,33.469,4.87894,4.82947
Fartovii_1983,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FatStevenSeagal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Faujee,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Feigezwetschge,25,26117,16,0,61,1,105820,0,79,75,0,0,173780,2,54.5689,17.4011,11.0656
Ferenado_Torres,1,1180,0,0,12,0,4550,0,3,2,0,0,10420,3,11.5423,10.4224,20.213
FernanA45,11,12101,0,0,11,0,37730,0,34,20,0,0,70320,2,33.8865,11.3627,8.65286
FhagM,12,15621,4,0,7,0,17400,0,4,54,0,0,0,1,36.9175,9,6.17081
